Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1995:Q2,Other,4.3,4.3,4,4.4,3.1,5.7,4.2,4,4.5,4.7,4.9,4.6,2.2,4.244326101186148
1995:Q3,White,90.1,89.3,88.1,87.2,95.4,83.1,86.8,93.7,91.2,84.5,84.9,81.2,94,86.81589660677733
1995:Q3,Black,3.9,4.3,5,5.4,1,8.8,5.5,1.5,2.6,6.6,6,9.4,3,5.525353655728704
1995:Q3,Hispanic,1.8,2.1,2.9,3.1,0.4,2.6,3.4,1.1,1.6,4.1,4.1,4.8,1.2,3.3826465163234483
1995:Q3,Other,4.2,4.3,4.1,4.4,3.1,5.5,4.3,3.7,4.6,4.7,4.9,4.7,1.9,4.276103221170511
1995:Q4,White,90.4,89.5,88.2,87.3,95.4,83.7,87,93.5,91.4,84.5,84.9,81.5,93,86.98203039362112
1995:Q4,Black,3.8,4.2,4.9,5.3,1.1,8.6,5.5,1.5,2.6,6.7,6.1,9.1,3.1,5.484087589961252
1995:Q4,Hispanic,1.8,2.1,2.8,3.1,0.5,2.6,3.3,1.2,1.7,4.1,4.1,4.7,1.3,3.2792912472857623
1995:Q4,Other,4,4.1,4.1,4.3,3,5.1,4.3,3.8,4.3,4.7,4.9,4.7,2.6,4.254590769131878
1996:Q1,White,90.5,89.6,88.2,87.4,95.4,84.2,87.1,93.3,91.6,84.6,84.8,81.8,93.3,87.10999686677499
1996:Q1,Black,3.8,4.2,4.9,5.3,1.2,8.4,5.4,1.6,2.7,6.6,6.2,8.8,2.5,5.433444334992956
1996:Q1,Hispanic,1.8,2.1,2.9,3.1,0.6,2.6,3.2,1.2,1.7,4.1,4,4.8,1.4,3.1988019524642324
1996:Q1,Other,3.9,4,4.1,4.2,2.9,4.8,4.3,3.9,4,4.7,4.9,4.6,2.8,4.257756845767821
1996:Q2,White,90.6,89.8,88.2,87.5,95.3,84.7,87.2,93.2,91.7,84.6,84.8,82.1,92.5,87.2407979305158
1996:Q2,Black,3.7,4.1,4.8,5.2,1.3,8.1,5.3,1.6,2.7,6.5,6.2,8.5,2.5,5.318159319795733
1996:Q2,Hispanic,1.8,2.2,2.9,3.1,0.6,2.6,3.1,1.3,1.8,4.1,4,4.8,1.6,3.1478915339032314
