Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1994:Q4,College,13280850,15304520,3710312,971461,2215660,2205100,961415,1923499,3317074,2023670,1495506,366486,161678
1994:Q4,SomeCollege,5489696,6590502,1853409,610137,746676,1167396,321471,690364,1201048,1100806,782118,284977,33711
1994:Q4,HS,5576015,6611169,2029867,615734,513544,1303769,363392,561549,1223314,1035154,722436,278414,34304
1994:Q4,NoHS,2092235,2357674,772776,226831,104490,450236,67482,243657,492202,265438,165880,91290,8268
1995:Q1,College,13505600,15523937,3704260,970999,2352965,2226663,995744,1951994,3321312,2018338,1496070,361518,160750
1995:Q1,SomeCollege,5604587,6718010,1868347,626089,795580,1183442,340004,693515,1211033,1113423,790499,290856,32068
1995:Q1,HS,5725898,6781182,2071331,633112,549233,1336134,384115,568713,1238544,1055284,738345,280765,36174
1995:Q1,NoHS,2133105,2399195,781000,230499,108809,460110,71259,249379,498140,266090,167012,91408,7670
1995:Q2,College,13766712,15805048,3702618,977454,2506272,2260957,1034394,1976050,3347303,2038336,1506994,367597,163745
1995:Q2,SomeCollege,5739101,6881515,1919309,636311,847630,1203434,360891,693999,1219941,1142414,804292,306162,31960
1995:Q2,HS,5841011,6930907,2096883,649388,587938,1360155,406777,574107,1255659,1089896,757888,293714,38294
1995:Q2,NoHS,2161398,2433816,795202,221166,113464,470456,75527,254634,503367,272418,169128,95653,7637
1995:Q3,College,13996782,16068943,3618825,980747,2700135,2297496,1081995,2014114,3375631,2072161,1523575,375268,173318
1995:Q3,SomeCollege,5823934,6997232,1917467,645894,908335,1220855,383438,695051,1226192,1173298,815335,323640,34323
1995:Q3,HS,5915839,7044723,2084731,662603,634767,1381482,431155,580355,1269630,1128884,779133,309677,40074
1995:Q3,NoHS,2169018,2450310,792114,215745,119286,479935,79556,259921,503752,281292,171728,101015,8549
1995:Q4,College,14478947,16582804,3656091,992686,2945820,2355223,1127479,2048408,3457097,2103857,1536167,394577,173113
1995:Q4,SomeCollege,5980018,7202038,1957072,652953,955897,1248720,406653,712704,1268039,1222020,840603,345839,35578
1995:Q4,HS,6000097,7141643,2095066,666256,679662,1388060,440579,591286,1280735,1141546,775006,322354,44186
1995:Q4,NoHS,2130888,2412203,784949,217360,119803,468097,78812,250212,492970,281314,168148,105389,7777
1996:Q1,College,14876974,17023096,3714562,1007593,3101667,2414805,1173301,2071946,3539222,2146122,1563804,398526,183792
1996:Q1,SomeCollege,6102643,7363246,1992117,661656,978453,1273194,428999,726463,1302363,1260602,871438,349149,40015
1996:Q1,HS,6078564,7211056,2112557,671125,702179,1390545,448601,599107,1286942,1132491,776770,313214,42507
1996:Q1,NoHS,2096721,2373107,777871,222048,116672,455359,77897,239859,483401,276386,166294,101318,8774
1996:Q2,College,15205103,17396857,3767099,1024404,3250583,2478220,1206017,2081288,3589245,2191754,1592903,412142,186709
1996:Q2,SomeCollege,6202357,7504630,2043056,664267,997040,1295811,445079,735726,1323652,1302273,896184,363838,42251
1996:Q2,HS,6103597,7245653,2114036,672258,721406,1391024,450490,603402,1293037,1142056,778108,317968,45980
1996:Q2,NoHS,2043857,2319386,772386,217902,113165,442222,76347,228899,468465,275529,164466,102632,8431
1996:Q3,College,15470075,17710053,3829085,1044142,3293917,2545052,1246917,2100768,3650172,2239978,1625905,426081,187992
1996:Q3,SomeCollege,6266938,7608386,2085422,668855,988250,1316607,462923,745401,1340929,1341448,920210,377864,43374
1996:Q3,HS,6107109,7257342,2118562,675122,715786,1389710,453792,608234,1296136,1150233,779875,322172,48186
1996:Q3,NoHS,1991904,2266328,765804,217101,106213,428827,74859,218223,455301,274424,162849,103729,7846
1996:Q4,College,16042130,18333513,3902078,1056582,3480156,2608585,1354726,2179502,3751884,2291383,1656440,444057,190886
1996:Q4,SomeCollege,6363742,7745992,2097255,673720,1011946,1331578,500969,765244,1365280,1382250,943004,394552,44694
1996:Q4,HS,6172898,7328033,2135570,673848,740434,1381855,475913,621557,1298855,1155135,778264,329364,47507
1996:Q4,NoHS,1948313,2222201,754810,223843,103911,414440,73738,209376,442083,273888,160424,105905,7559
1997:Q1,College,16297888,18627065,3968245,1075952,3539509,2680938,1375262,2266338,3720821,2329176,1685817,444670,198689
1997:Q1,SomeCollege,6396491,7798978,2118114,678501,1004197,1349003,509387,785290,1354486,1402487,961749,392346,48392
1997:Q1,HS,6173124,7315744,2141099,675377,736505,1377747,470347,635318,1279350,1142619,775159,316440,51020
1997:Q1,NoHS,1907391,2173687,744945,227271,97838,400951,71721,200823,430138,266296,157749,100719,7828
1997:Q2,College,17242301,19628061,4047025,1095464,4128303,2762597,1517791,2304526,3772356,2385761,1720457,457708,207596
1997:Q2,SomeCollege,6617710,8054073,2163809,676725,1115064,1369536,565643,794727,1368570,1436363,981808,402442,52113
1997:Q2,HS,6318671,7462962,2142260,672845,843925,1378292,506444,640821,1278375,1144291,773970,317251,53070
1997:Q2,NoHS,1876936,2141501,740466,222007,106798,388548,73617,191044,419022,264566,155688,100638,8240
