Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1991:Q2,TopPt1,8.9,7.7,3.1,7.3,15.1,0.7,1.4,20.2,10.4,0.8,0.4,1.1,5.1,1.386045190372522
1991:Q2,RemainingTop1,14.1,12.6,7.4,8.2,26.5,3.9,8.3,24.9,15.7,3.2,3,1.2,17.3,8.315523589846245
1991:Q2,Next9,36.5,33.8,29,22.2,37.6,38.6,43.1,34.6,36.8,17,18.7,8.3,31,43.138922644109414
1991:Q2,Next40,36.7,38.2,47.8,41.9,19.3,52.7,41.9,18.6,32,47.6,50.6,41.6,29.1,41.88436361280441
1991:Q2,Bottom50,3.9,7.7,12.8,20.5,1.5,4.2,5.3,1.7,5.1,31.4,27.2,47.8,17.5,5.275144962867412
1991:Q3,TopPt1,8.8,7.7,3.2,6.4,15.6,0.7,1.3,20.1,10.3,0.7,0.4,0.9,5,1.2888724704708354
1991:Q3,RemainingTop1,14.1,12.6,7.4,8.2,26.5,3.9,8.3,24.9,15.6,3.3,3.1,1.3,16.5,8.304867634500427
1991:Q3,Next9,36.2,33.6,28.5,22.6,37.2,38.3,43.1,34.6,36.8,17.5,19.3,8.5,32.4,43.146483206836884
1991:Q3,Next40,36.8,38.2,47.7,42.2,19.3,52.8,42,18.6,32.1,47.3,50.3,41.1,29.4,42.01241296372702
1991:Q3,Bottom50,4,7.8,13.3,20.6,1.5,4.2,5.2,1.7,5.1,31.2,26.9,48.2,16.6,5.2473637244648295
1991:Q4,TopPt1,9,7.9,3.3,6,16.6,0.8,1.2,20,10.3,0.7,0.4,0.7,5,1.2039781364605413
1991:Q4,RemainingTop1,14.4,12.9,7.5,8.2,26.8,4,8.3,25,15.6,3.4,3.1,1.3,15.7,8.27659457326641
1991:Q4,Next9,36,33.6,28.3,22.7,36.6,38.1,43.1,34.6,36.7,18,19.7,8.7,33.7,43.12902791669343
1991:Q4,Next40,36.5,37.9,47.4,42.4,18.5,53,42.2,18.7,32.2,46.9,50,40.6,29.6,42.16966877410633
1991:Q4,Bottom50,4,7.7,13.4,20.8,1.5,4.1,5.2,1.7,5.1,31.2,26.8,48.8,15.9,5.220730599473293
1992:Q1,TopPt1,9,7.9,3.5,5.8,16.6,0.8,1.1,20.1,10.4,0.6,0.4,0.5,5.1,1.0828424366354708
1992:Q1,RemainingTop1,14.3,12.8,7.7,8.1,26.4,4.1,8.3,25,15.5,3.5,3.2,1.4,17.3,8.317994398749317
1992:Q1,Next9,35.8,33.5,28.3,22.5,36.4,37.9,43.3,34.6,36.6,18.7,20.6,8.9,33.3,43.27689925976943
1992:Q1,Next40,36.8,38.1,47.1,42.7,19,53.1,42.1,18.6,32.4,46.4,49.5,40,29,42.129450449654264
1992:Q1,Bottom50,4.1,7.8,13.4,21,1.5,4,5.2,1.7,5.2,30.8,26.4,49.2,15.4,5.192813455191518
1992:Q2,TopPt1,8.9,7.8,3.6,5.5,16.6,0.8,1,20,10.2,0.6,0.4,0.3,5.1,0.9752771131439332
1992:Q2,RemainingTop1,14.1,12.6,7.8,8,26.1,3.7,8.3,25,15.4,3.6,3.3,1.5,17.2,8.310671122262535
1992:Q2,Next9,35.7,33.5,28.3,22.4,36.2,38.2,43.4,34.6,36.5,19.3,21.3,9.1,34,43.436314896925175
1992:Q2,Next40,37.1,38.3,46.8,43,19.4,53.2,42.1,18.6,32.7,46,49.1,39.4,29,42.12515210726854
1992:Q2,Bottom50,4.2,7.8,13.5,21.2,1.6,4,5.2,1.8,5.2,30.5,26,49.7,14.8,5.15258476039981
1992:Q3,TopPt1,8.9,7.7,3.7,4.5,17,0.8,0.9,20.1,10.2,0.5,0.3,0.1,5.1,0.8912971151563089
1992:Q3,RemainingTop1,14,12.6,7.8,8,26,3.4,8.3,25,15.2,3.7,3.3,1.6,18,8.29000137844331
1992:Q3,Next9,35.7,33.4,27.7,23,36,38.6,43.5,34.6,36.5,19.5,21.5,9.2,34.1,43.47754544713165
1992:Q3,Next40,37.2,38.4,46.8,43.3,19.5,53.3,42.2,18.4,32.9,45.7,48.9,38.8,28.7,42.215728543375135
