Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1994:Q2,ageunder40,10.7,14.5,19.9,29.9,7.7,9.7,17.9,10.7,10.4,37.8,36.9,47.7,9.4,17.913657488136263
1994:Q3,age70plus,20.4,17.9,17.3,13,21.2,12.6,1,16,29,2.9,2.5,2,11,1.0196816753320106
1994:Q3,age55to69,33.9,31.3,26.4,23.5,37.3,37.4,26.4,34.2,32.3,15.8,15,12.4,41.6,26.38207649640111
1994:Q3,age40to54,35.1,36.3,36.3,33.9,34,40.3,54.6,39.6,28.3,43.8,46,38.1,38,54.58483106199945
1994:Q3,ageunder40,10.7,14.4,19.9,29.5,7.5,9.7,18,10.3,10.4,37.5,36.5,47.6,9.4,18.01341076626743
1994:Q4,age70plus,20.4,18,17.2,13.1,21.3,12.6,0.9,16.2,28.9,3.1,2.7,2.2,11.6,0.9323942675753897
1994:Q4,age55to69,33.9,31.3,26.4,23.5,36.9,37.4,26.2,34,32.7,15.8,14.9,12.3,42.1,26.182837736905984
1994:Q4,age40to54,35.2,36.5,36.6,34,34.4,40.2,54.6,39.9,28.4,44,46.4,38.1,37.1,54.647850340771164
1994:Q4,ageunder40,10.4,14.3,19.8,29.4,7.4,9.8,18.2,9.9,10,37.2,36,47.4,9.2,18.236917654747455
1995:Q1,age70plus,20.5,18,17.3,13.2,21.6,12.7,1.1,16.4,28.7,3,2.7,2,10.6,1.08686063819215
1995:Q1,age55to69,33.8,31.2,26.3,23.5,36.5,37.4,26.2,33.8,32.5,15.7,14.9,11.9,42.6,26.231267328523682
1995:Q1,age40to54,35.4,36.6,36.8,34,34.7,40.1,54.4,40.2,28.7,44.5,46.8,38.8,37.5,54.41834782890278
1995:Q1,ageunder40,10.4,14.1,19.6,29.3,7.1,9.8,18.3,9.6,10.1,36.9,35.6,47.3,9.3,18.263524204381387
1995:Q2,age70plus,20.3,17.8,16.6,13.1,21.9,12.8,1.2,16.7,28.4,2.8,2.6,2,10.2,1.2208748671167475
1995:Q2,age55to69,33.8,31.2,26.5,23.8,36.1,37.4,26.3,33.7,32.4,15.6,14.9,11.8,42.9,26.288727878533525
1995:Q2,age40to54,35.6,36.9,37.1,34.3,35,40,54.2,40.4,29,44.7,47.1,39.1,37.5,54.210242076536495
1995:Q2,ageunder40,10.3,14.1,19.7,28.7,6.9,9.8,18.3,9.2,10.2,36.8,35.5,47.2,9.4,18.28015517781324
1995:Q3,age70plus,20.2,17.8,16.2,13.1,22.2,13,1.4,16.9,28.2,3,2.7,2.1,11,1.3950899352021233
1995:Q3,age55to69,34,31.3,26.7,23.9,35.8,37.3,26.4,33.6,32.5,15.7,14.9,11.7,43.2,26.381110697848587
1995:Q3,age40to54,35.8,37.1,37.5,34.5,35.2,39.9,54,40.7,29.2,44.8,47.4,39.2,36.7,53.97139379954407
1995:Q3,ageunder40,10,13.8,19.7,28.4,6.8,9.8,18.3,8.8,10.1,36.5,35.1,47,9.1,18.252405567405226
1995:Q4,age70plus,20.3,17.8,16.5,13,22.1,13.2,1.4,16.5,28.2,2.9,2.5,2.3,10.5,1.3658478624295904
1995:Q4,age55to69,34,31.4,26.6,24.1,36.1,37.3,26.5,33.5,32.7,15.9,15.1,12.3,41.3,26.516917512002543
1995:Q4,age40to54,35.7,37,37.4,34.8,34.9,39.7,53.8,40.5,29.2,44.7,47.3,38.6,38.3,53.77383160548968
1995:Q4,ageunder40,10,13.8,19.5,28.1,6.9,9.8,18.3,9.5,9.9,36.5,35.1,46.7,9.9,18.343403020078178
1996:Q1,age70plus,20.3,17.9,16.9,13,21.9,13.4,1.3,16.2,28,2.9,2.3,2.1,13,1.3283082753741782
1996:Q1,age55to69,34,31.5,26.5,24.2,36.3,37.3,26.6,33.5,32.8,16.2,15.4,12.7,40.9,26.647760849080093
1996:Q1,age40to54,35.6,36.9,37.3,34.9,34.7,39.5,53.6,40.3,29.3,44.6,47.2,38.7,37.3,53.59080570350029
1996:Q1,ageunder40,10,13.8,19.3,27.9,7.1,9.7,18.4,10,10,36.3,35.1,46.5,8.8,18.433125172045443
1996:Q2,age70plus,20.2,17.8,16.8,12.8,21.7,13.6,1.2,15.9,27.9,3,2.4,2.3,13,1.2270803431141624
1996:Q2,age55to69,34.2,31.7,26.6,24.6,36.5,37.3,26.7,33.5,33,16.4,15.6,13.1,39.2,26.731021233884956
1996:Q2,age40to54,35.5,36.8,37.3,35.2,34.5,39.3,53.5,40,29.1,44.5,47.2,38.4,38.4,53.469388879552824
1996:Q2,ageunder40,10.1,13.8,19.3,27.4,7.3,9.7,18.6,10.6,9.9,36.1,34.8,46.2,9.4,18.572509543448056
1996:Q3,age70plus,20.1,17.7,16.9,12.6,21.4,13.8,1.2,15.6,27.7,3.1,2.5,2.4,13.1,1.1595316485666676
1996:Q3,age55to69,34.3,31.8,26.7,24.8,36.8,37.3,26.8,33.5,33.3,16.5,15.8,13.6,37.9,26.838717170950062
1996:Q3,age40to54,35.4,36.7,37.3,35.5,34.4,39.1,53.3,39.8,29,44.5,47.1,38.1,39.4,53.323535061581694
1996:Q3,ageunder40,10.2,13.9,19.2,27.1,7.4,9.7,18.7,11.1,10.1,35.9,34.6,46,9.7,18.67821611890158
1996:Q4,age70plus,20.2,17.8,17.5,12.6,21.3,14,1.4,15.2,27.5,3.1,2.5,2.5,14.1,1.4479829513092919
1996:Q4,age55to69,34.4,31.8,26.5,24.9,37,37.4,27.1,33.4,33.5,16.7,16,14,37.3,27.14220739968387
