Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2014:Q2,White,69222010,79379871,17099132,3829064,17758471,11673121,6753467,7611154,14655462,10157861,7158049,2233280,766532
2014:Q2,Black,3275086,4334018,1055651,328412,272315,1449285,484322,214968,529066,1058933,638788,405154,14991
2014:Q2,Hispanic,1746806,2513468,915181,271455,216001,418654,208436,203234,280507,766662,546504,206995,13163
2014:Q2,Other,5426816,6813416,1942387,380432,992217,1152110,671176,582578,1092516,1386600,1034018,318590,33992
2014:Q3,White,69533686,79618440,17366663,3840743,17419513,11698623,6687202,7852091,14753604,10084753,7152811,2268607,663335
2014:Q3,Black,3339493,4412328,1092541,339219,266482,1463047,475194,219527,556318,1072835,637571,423718,11546
2014:Q3,Hispanic,1862769,2643012,953154,276107,231023,445566,222980,208210,305972,780243,550706,218399,11138
2014:Q3,Other,5497928,6914610,1986624,383775,959705,1184260,675206,600063,1124977,1416682,1040005,332257,44420
2014:Q4,White,70658822,80746964,17537309,3841593,18020485,11735413,6766492,8087737,14757935,10088142,7143566,2298366,646210
2014:Q4,Black,3428768,4518303,1122412,350683,271288,1479508,488013,224270,582129,1089535,639381,438769,11385
2014:Q4,Hispanic,1982415,2779422,984975,279831,252300,474004,243841,213256,331216,797007,557185,228153,11669
2014:Q4,Other,5646590,7089081,2016888,387219,994286,1219878,695995,617614,1157201,1442491,1047124,344251,51116
2015:Q1,White,71964488,81988245,17759337,3848907,18545498,11759962,6830350,8279764,14964427,10023757,7099018,2275517,649222
2015:Q1,Black,3539963,4640940,1157881,361796,275582,1495347,498779,227889,623665,1100977,640271,448401,12305
2015:Q1,Hispanic,2118060,2928973,1021318,284619,273370,502578,264106,216099,366883,810914,561935,236067,12912
2015:Q1,Other,5837543,7292186,2058397,390733,1024751,1254883,715082,629103,1219237,1454643,1050238,347125,57280
2015:Q2,White,72278569,82344760,18044709,3879855,18596379,11770523,6803226,8474333,14775735,10066191,7100626,2306610,658955
2015:Q2,Black,3609262,4736938,1201246,376233,274835,1509879,497156,231800,645788,1127675,650033,463940,13702
2015:Q2,Hispanic,2234315,3071048,1066183,292180,290985,531053,281041,219324,390282,836733,574916,247310,14507
2015:Q2,Other,5941948,7427584,2111308,396693,1022813,1288788,725544,641743,1240696,1485637,1062274,359924,63439
2015:Q3,White,71213382,81303996,18341241,3898477,17093662,11753872,6503828,8607971,15104945,10090613,7107368,2343716,639529
2015:Q3,Black,3608070,4764621,1239857,379796,256472,1520906,456377,233858,677355,1156551,659002,483654,13895
2015:Q3,Hispanic,2306875,3170568,1096481,299167,294866,558534,286061,219200,416259,863693,587685,260743,15265
2015:Q3,Other,5934886,7455939,2178214,396903,912785,1319114,705951,645408,1297564,1521052,1075202,375023,70827
2015:Q4,White,72348354,82401868,18567363,3916110,17752367,11778260,6644806,8712587,15030375,10053514,7136164,2283887,633463
2015:Q4,Black,3717735,4883097,1273594,386357,262698,1536869,479289,235015,709274,1165362,665990,483496,15876
2015:Q4,Hispanic,2431040,3311251,1124573,305832,316949,588589,310256,217496,447556,880211,599958,263106,17147
2015:Q4,Other,6110711,7650831,2232336,398735,954570,1357325,735763,645046,1327056,1540120,1090735,369735,79650
2016:Q1,White,73232667,83234253,18751245,3939964,18020088,11791698,6697682,8725122,15308454,10001586,7104326,2271234,626026
2016:Q1,Black,3811385,4994143,1307363,400046,264412,1550615,489029,233112,749566,1182757,671388,494249,17120
2016:Q1,Hispanic,2549237,3448593,1159156,312655,335404,618154,330334,210564,482326,899357,608879,271959,18519
2016:Q1,Other,6253860,7814070,2273697,404484,969649,1394362,755438,630689,1385751,1560210,1098488,374824,86898
2016:Q2,White,74282501,84323957,19089593,3960444,18492135,11824162,6779064,8889962,15288597,10041456,7112564,2297968,630924
2016:Q2,Black,3918512,5129562,1361602,417965,268399,1566592,503261,236126,775617,1211050,684147,508638,18265
2016:Q2,Hispanic,2680033,3607567,1220728,318560,355694,642152,351869,212238,506326,927534,624540,283032,19962
2016:Q2,Other,6409045,8002622,2334729,412414,999551,1423979,779443,640504,1412002,1593577,1113840,387209,92528
2016:Q3,White,75409112,85521946,19437410,3979568,19016195,11864302,6928343,9050375,15245753,10112833,7141762,2335637,635434
2016:Q3,Black,4000099,5242341,1401689,415938,272822,1582016,526779,238838,804260,1242242,695491,527408,19343
2016:Q3,Hispanic,2784908,3742249,1247525,325346,376311,666146,376220,213502,537199,957341,639867,295998,21476
2016:Q3,Other,6585226,8217673,2420200,410437,1033543,1455088,811100,649796,1437510,1632448,1131675,402594,98179
2016:Q4,White,75685456,85825652,19696420,4003695,19184268,11930098,6938245,9070519,15002407,10140196,7146916,2378084,615196
2016:Q4,Black,4048877,5310111,1428715,414187,276192,1609700,538854,238870,803593,1261234,704729,539370,17135
