Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1999:Q4,Next40,13887173,16722279,5282952,1283213,1705746,3453798,1709432,820063,2467075,2835106,2132528,576966,125612
1999:Q4,Bottom50,1303639,3387993,1599121,678102,151779,211971,235570,85202,426249,2084354,1202960,816972,64422
2000:Q1,TopPt1,4611329,4664940,352131,143236,2040090,27571,56753,965915,1079244,53612,22881,2966,27765
2000:Q1,RemainingTop1,7123180,7389067,1005624,287188,2921990,250283,362894,1244821,1316267,265887,199117,16552,50218
2000:Q1,Next9,14724751,15964268,3152294,619084,3808179,3036659,1468351,1482104,2397596,1239517,910088,139073,190356
2000:Q1,Next40,14274353,17156513,5461420,1305977,1798920,3505663,1765494,832083,2486956,2882160,2161091,579493,141576
2000:Q1,Bottom50,1371796,3459903,1643314,692443,156308,212073,241695,82158,431912,2088107,1203553,815681,68873
2000:Q2,TopPt1,4457717,4507122,366757,141843,1860788,27838,54200,1004786,1050909,49405,22425,2835,24145
2000:Q2,RemainingTop1,7011714,7291368,1058661,304453,2735017,257344,357800,1283578,1294515,279655,206349,16893,56413
2000:Q2,Next9,14712004,15969592,3278025,622717,3634288,3074367,1462154,1523677,2374364,1257588,936719,141182,179687
2000:Q2,Next40,14420587,17368008,5651524,1328525,1764879,3547373,1735737,848063,2491907,2947421,2213245,602118,132058
2000:Q2,Bottom50,1373489,3506944,1684254,707174,149233,212063,238524,80629,435067,2133455,1230368,838742,64345
2000:Q3,TopPt1,4470588,4516406,377894,128857,1809885,28152,53385,1059631,1058602,45818,21987,2759,21072
2000:Q3,RemainingTop1,7106033,7394894,1101705,322354,2715562,264803,358097,1329571,1302802,288861,213640,17085,58136
2000:Q3,Next9,14935931,16228657,3363792,634611,3644838,3119378,1493927,1581953,2390157,1292726,964595,144605,183526
2000:Q3,Next40,14669528,17699979,5840158,1346579,1790760,3596111,1747605,865602,2513164,3030451,2265146,632631,132674
2000:Q3,Bottom50,1394186,3583740,1748960,715783,147880,212147,239689,79556,439725,2189554,1256443,869993,63118
2000:Q4,TopPt1,4311146,4352584,394216,135834,1500752,28383,48745,1085678,1158977,41438,21234,2647,17557
2000:Q4,RemainingTop1,6882847,7189701,1158977,337923,2338317,271754,345798,1364098,1372835,306854,220468,17308,69078
2000:Q4,Next9,14809037,16097127,3510150,630031,3241334,3152723,1441116,1612457,2509316,1288090,978576,148538,160976
2000:Q4,Next40,14719787,17818112,6016980,1367214,1665084,3633726,1665906,881609,2587593,3098324,2314611,666844,116869
2000:Q4,Bottom50,1356483,3600977,1768395,730756,133497,212114,230667,77950,447599,2244495,1281895,905930,56670
2001:Q1,TopPt1,4126425,4162181,416407,136962,1264844,28687,41691,1096245,1177344,35756,20470,2355,12931
2001:Q1,RemainingTop1,6767901,7088671,1248500,353653,2048120,279235,324698,1392166,1442299,320770,227063,18014,75693
2001:Q1,Next9,14769192,16050089,3733452,629267,2924104,3196141,1351651,1627787,2587688,1280897,992140,147292,141465
2001:Q1,Next40,14919069,18050812,6337267,1384825,1559068,3681091,1531677,896655,2660229,3131743,2359617,672169,99957
2001:Q1,Bottom50,1401146,3661851,1834132,742026,121543,212213,214604,76065,461269,2260705,1302071,909894,48740
2001:Q2,TopPt1,4237190,4268690,428919,132209,1369834,26375,43061,1107731,1160561,31500,19655,1955,9890
2001:Q2,RemainingTop1,7020558,7352572,1293302,369154,2236021,270984,331705,1420534,1430872,332014,235910,18909,77195
2001:Q2,Next9,15250986,16549912,3833357,631550,3173166,3260592,1413951,1644021,2593275,1298925,1006823,147766,144336
2001:Q2,Next40,15285003,18512540,6503171,1397637,1671957,3754601,1587339,911873,2685963,3227538,2439351,687374,100813
2001:Q2,Bottom50,1393353,3729156,1875081,748230,128223,212840,221144,74253,469385,2335803,1360463,928245,47095
2001:Q3,TopPt1,4027228,4058308,440372,122128,1064314,23977,36030,1117436,1254051,31080,19626,1793,9661
2001:Q3,RemainingTop1,6704457,7040467,1335324,385451,1828091,262038,308736,1447923,1472903,336009,244384,19315,72310
2001:Q3,Next9,14860190,16245115,3918995,639114,2699579,3313204,1319705,1658253,2696265,1384924,1053895,148250,182779
2001:Q3,Next40,15192257,18524966,6677994,1411042,1492432,3816982,1448312,927019,2751186,3332709,2500400,703174,129135
2001:Q3,Bottom50,1373488,3763936,1930613,753578,111077,213349,203868,72444,479007,2390448,1392196,941818,56434
2001:Q4,TopPt1,4195377,4224765,453748,138959,1266841,24397,38691,1086151,1215979,29389,19690,2178,7521
2001:Q4,RemainingTop1,7088912,7446131,1393095,377053,2107027,255351,318997,1469883,1524724,357219,252298,20385,84536
2001:Q4,Next9,15530646,16837663,4020401,651010,3021331,3399554,1387229,1625658,2732480,1307017,1009346,154341,143330
