Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2018:Q1,Hispanic,3903451,1790318,1437548,352770,2113133,328983,13268,25865,25865,0,3832,2821,1011,281304,49095,129115,269910,700729,241326,69706,1025725,1024595,691608,310392,15867,6728,1129,2877726,12967725
2018:Q1,Other,10140611,3509215,3072062,437154,6631396,1049419,100103,171757,171757,0,96846,77684,19161,1768732,135577,209205,720775,1353210,909267,116507,1822850,1819762,1282870,469158,14328,53406,3087,8317762,13877423
2018:Q2,White,94360696,25779249,21567682,4211566,68581447,8160581,1421442,3128820,3128820,0,692716,625835,66881,22763819,1329775,1651066,6158598,12517878,9849784,906968,10548266,10520147,7308604,2492768,204672,514103,28119,83812430,81778681
2018:Q2,Black,5870584,1988379,1582777,405602,3882205,459418,35454,92671,92671,0,1217,843,373,315154,134342,262587,466705,1747274,251736,115647,1327106,1324154,732361,575376,10419,5998,2952,4543478,18831579
2018:Q2,Hispanic,3883155,1808305,1451563,356742,2074850,311957,13367,25569,25569,0,3510,2285,1225,258715,47286,128591,269508,702544,243626,70177,1031278,1030202,696471,309845,17730,6156,1076,2851877,12922237
2018:Q2,Other,10436311,3613931,3171014,442917,6822380,1065013,101486,183060,183060,0,96382,78352,18030,1881938,144062,201595,743199,1334130,952763,118752,1859446,1856218,1310356,480200,15349,50312,3228,8576865,13992831
2018:Q3,White,96118782,26061893,21811212,4250681,70056890,8042240,1420378,3339113,3339113,0,694020,627769,66251,23741560,1338741,1668737,6341683,12643921,9909749,916748,10663393,10634788,7367390,2541303,205224,520871,28605,85455390,81997609
2018:Q3,Black,5919844,1989761,1588240,401521,3930083,451087,34439,87857,87857,0,1439,1015,424,323324,138892,263657,502028,1761716,249576,116068,1337352,1334239,734847,584004,9345,6042,3114,4582492,18785358
2018:Q3,Hispanic,3855159,1818866,1460177,358689,2036293,291563,13352,25694,25694,0,3258,1801,1457,238998,45473,127877,272928,703562,242606,70981,1038663,1037610,701656,312399,17701,5854,1053,2816496,12853848
2018:Q3,Other,10795460,3714842,3267390,447452,7080619,1073415,100451,204450,204450,0,96021,79227,16794,2054994,152825,193989,777894,1316513,988353,121715,1900474,1897018,1339516,496862,14130,46510,3456,8894987,14108873
2018:Q4,White,92946806,26325583,22017016,4308567,66621223,8175006,1569448,3539401,3526976,12425,671248,605383,65866,20363676,1319110,1604523,5785770,12723172,9938795,931073,10748578,10721008,7406950,2591760,222844,499454,27570,82198228,82274220
2018:Q4,Black,5768068,1974907,1581004,393903,3793161,459704,33551,81652,81385,266,1196,714,482,282498,139294,247668,419725,1765278,245745,116850,1340590,1337626,731881,589211,11525,5009,2963,4427478,18706371
2018:Q4,Hispanic,3752287,1812585,1450534,362052,1939702,284580,13564,25550,25473,77,2796,1085,1711,194115,42316,121127,244502,700105,239072,71976,1040070,1039108,701552,312592,20218,4747,962,2712217,12761205
2018:Q4,Other,10683570,3813687,3362710,450978,6869882,1115425,108707,225658,224045,1613,93856,78418,15438,1841350,158373,169437,725932,1287791,1018126,125227,1941251,1937746,1364036,513478,15857,44375,3506,8742318,14225391
2019:Q1,White,98033039,26730307,22368845,4361462,71302732,8353720,1689872,3682490,3682490,0,670946,604617,66328,23655797,1336540,1680242,6262640,12906822,10130987,932677,10748026,10719515,7425516,2585298,210814,497887,28511,87285013,82612271
2019:Q1,Black,5933018,2000252,1598980,401272,3932766,470183,32140,73350,73350,0,1383,822,560,314570,144143,258916,497717,1778233,246674,115457,1324873,1321677,724423,584487,8055,4712,3196,4608146,18592766
2019:Q1,Hispanic,3792503,1846787,1484234,362554,1945716,279349,13592,24883,24883,0,2613,611,2002,185651,40687,123808,258753,700342,244400,71637,1027979,1027026,696785,307917,18130,4194,953,2764524,12642955
2019:Q1,Other,11376975,3922206,3459566,462640,7454769,1163304,114837,240278,240278,0,92910,78980,13930,2225593,168078,172862,794742,1277282,1077908,126975,1957869,1954083,1383881,516787,12493,40922,3787,9419105,14342226
2019:Q2,White,99827713,27052424,22638926,4413498,72775289,8241216,1652461,3917699,3914268,3431,684365,617430,66935,24402112,1341409,1725980,6433628,13074595,10362692,939133,10867074,10839192,7478620,2629245,217795,513533,27882,88960639,83015517
2019:Q2,Black,5950812,1994681,1595833,398847,3956131,458678,30934,65589,65544,45,1821,1174,647,317345,146867,263257,526387,1782691,248119,114443,1327672,1324564,726555,584900,8071,5037,3108,4623140,18442692
2019:Q2,Hispanic,3751891,1849564,1487272,362293,1902327,257636,13457,24542,24528,14,2592,267,2325,162229,38430,123991,259247,697592,251121,71491,1030034,1029158,699258,306955,18838,4107,876,2721857,12497746
2019:Q2,Other,11755891,4020712,3551321,469391,7735180,1170631,111189,266607,266305,303,92627,80434,12194,2383738,176334,169882,827452,1262049,1145382,129288,1995252,1991370,1411804,530991,12283,36292,3883,9760639,14459219
2019:Q3,White,100487328,27346514,22870288,4476226,73140814,8229422,1878069,3930496,3929855,641,709015,641198,67817,24192440,1347617,1757695,6474831,13243790,10433871,943567,10991062,10962638,7544856,2682204,213448,522130,28424,89496266,83487715
2019:Q3,Black,5887326,1956234,1572835,383399,3931093,452983,28531,54242,54236,6,2472,1726,746,309067,149240,263909,532632,1781693,243521,112803,1326563,1323326,724047,587866,6333,5079,3237,4560763,18254296
2019:Q3,Hispanic,3657277,1819317,1456561,362756,1837960,240989,13337,22931,22929,2,2705,15,2691,134386,36155,122802,253619,692576,247529,70932,1027176,1026330,697909,306729,17877,3816,846,2630101,12324224
2019:Q3,Other,11999386,4122230,3652661,469569,7877156,1190966,123057,265398,265357,41,92737,82566,10171,2453931,184692,163674,844385,1244813,1182265,131239,2033454,2029339,1439524,547337,10458,32020,4116,9965931,14576210
2019:Q4,White,103456040,27606073,23098131,4507942,75849967,8556315,1987984,3806782,3806782,0,701476,634273,67203,26012736,1357659,1780889,6788283,13370745,10523337,963761,11090189,11061870,7590432,2725086,217921,528431,28319,92365851,83619861
2019:Q4,Black,5991169,1965469,1585089,380380,4025700,472888,27682,52574,52574,0,2295,1566,729,326324,149703,266849,578011,1789359,244994,115020,1330680,1327484,722486,592844,6903,5251,3196,4660489,18190994
2019:Q4,Hispanic,3766144,1857938,1487853,370085,1908205,260527,13422,22574,22574,0,2708,0,2708,143198,36908,125645,268778,706456,254637,73353,1044972,1044121,707998,313458,18662,4003,850,2721172,12471619
2019:Q4,Other,12410414,4194751,3721744,473006,8215664,1243523,130273,251007,251007,0,92943,82660,10282,2640275,187014,169020,887220,1274555,1205068,134767,2063232,2059103,1455256,560803,11093,31950,4129,10347182,14686757
2020:Q1,White,98273862,28113516,23568028,4545488,70160346,8917438,2408868,3848381,3667653,180728,819197,752231,66966,20143452,1361104,1679585,5954566,13372643,10688918,966194,11139944,11109719,7631417,2694213,238849,545240,30225,87133918,83647049
2020:Q1,Black,5863544,2017753,1635582,382172,3845791,497781,23083,51595,50980,615,4765,4041,724,265320,150185,247584,449485,1790196,250401,115395,1334187,1330628,723491,590890,10385,5861,3560,4529356,18202918
2020:Q1,Hispanic,3770391,1904491,1531568,372923,1865900,278646,12492,22316,21801,515,3699,1006,2693,118541,36908,118383,234534,703831,263276,73273,1045150,1044225,707065,311023,21693,4443,925,2725241,12427553
2020:Q1,Other,11882447,4269281,3795891,473390,7613166,1288665,153873,238248,233112,5136,99767,89510,10257,2077524,186695,147494,783873,1270117,1232328,134583,2056492,2052152,1455491,551709,14210,30742,4339,9825956,14635589
2020:Q2,White,104818594,28615699,24055388,4560311,76202895,9653646,2605383,3537874,3268233,269641,813124,746824,66300,24496242,1392228,1781191,6716509,13463496,10759432,983771,11132734,11103220,7679810,2661610,231042,530758,29514,93685860,83173640
