Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1995:Q1,RemainingTop1,4299918,794511,617138,177373,3505407,314540,122220,455936,340345,115591,68057,45734,22323,1187284,59214,11529,154996,98177,1013375,20080,168976,167100,125634,11406,1839,28221,1876,4130942,886448,
1995:Q1,Next9,9877017,2736992,2248818,488174,7140024,968116,195451,507487,406013,101474,66531,18250,48281,1260777,121839,232748,492357,2197670,1027141,69906,727954,723980,600463,78869,1598,43050,3974,9149063,8858334,
1995:Q1,Next40,11583721,5004732,3986725,1018006,6578990,1149663,89845,259504,197568,61936,26543,4847,21697,601654,256819,279398,470699,2721263,579297,144305,1886289,1878014,1440824,379624,4663,52903,8275,9697433,39387178,
1995:Q1,Bottom50,2694187,1916562,1325717,590845,777625,167627,8217,30280,27583,2697,3566,795,2771,60604,70002,16759,114285,180795,58988,66501,1642268,1640006,1010898,553468,3546,72094,2263,1051919,49230884,
1995:Q2,TopPt1,3064743,420893,240435,180458,2643850,176410,73171,702118,511970,190148,73219,53894,19325,754672,26275,787,18921,8123,802572,7581,28444,27816,14528,1214,949,11125,628,3036299,98494,
1995:Q2,RemainingTop1,4454012,790983,611075,179908,3663029,329774,133533,444939,335784,109155,68502,46624,21878,1281000,64276,11850,162383,107005,1039064,20704,172488,170490,129018,11249,2214,28009,1999,4281524,888537,
1995:Q2,Next9,9986154,2725911,2225517,500394,7260244,976295,204941,484883,384544,100339,63694,17303,46391,1334200,121099,246801,511542,2228622,1017731,70436,721644,717791,595124,80474,1766,40426,3853,9264510,8883365,
1995:Q2,Next40,11763574,5074108,4048993,1025115,6689466,1155288,90785,248245,193824,54421,26313,4602,21711,621722,263330,288274,498075,2770164,580075,147195,1913260,1904900,1452932,393161,5888,52919,8360,9850314,39495895,
1995:Q2,Bottom50,2782802,1986436,1387992,598445,796366,168883,8742,30903,28602,2301,3661,805,2856,63710,72423,16851,122103,181088,59350,68653,1707227,1704911,1046699,577028,4340,76844,2317,1075575,49366987,
1995:Q3,TopPt1,3204481,411640,231260,180380,2792841,183900,75905,737300,526171,211129,75878,56412,19466,827539,27744,831,20694,7789,827546,7715,29747,29080,15145,1312,1046,11576,667,3174734,99138,12618955
1995:Q3,RemainingTop1,4605498,766556,585390,181166,3838942,335477,139278,446429,333670,112758,68924,47493,21431,1394010,67549,12036,171330,115751,1067297,20861,174539,172417,132648,10940,2563,26266,2122,4430959,890588,2700932
1995:Q3,Next9,10057375,2665515,2158803,506712,7391860,966660,209701,475142,372672,102470,60905,16420,44485,1426436,118379,255607,538135,2257494,1014052,69349,730148,726418,598391,82673,1856,43498,3731,9327227,8908341,610940
1995:Q3,Next40,11856472,5050773,4020090,1030683,6805699,1149422,90045,251036,194636,56400,26103,4373,21730,647141,267880,294371,535014,2817365,580730,146592,1947496,1939051,1464474,410459,7125,56993,8446,9908975,39606948,84191
1995:Q3,Bottom50,2837383,2023641,1417594,606048,813741,168423,9037,32111,29685,2426,3756,814,2942,67397,74522,16865,131262,181370,59815,69184,1773705,1771334,1079112,604214,5105,82903,2371,1063678,49505418,
1995:Q4,TopPt1,3307073,413621,234474,179147,2893452,183039,77945,746150,516551,229599,83229,64865,18363,904409,26956,861,22451,8949,831699,7765,32846,32198,15765,1606,1552,13275,648,3274227,99842,
1995:Q4,RemainingTop1,4742538,779836,598098,181738,3962702,335750,144186,467942,339583,128358,74639,52976,21663,1469774,65860,12779,181513,121916,1067358,20986,179610,177510,134181,10975,3133,29221,2100,4562928,892607,
1995:Q4,Next9,10337367,2704159,2189258,514902,7633207,965475,221114,481880,370420,111460,64592,20997,43596,1548744,124397,261426,552134,2296789,1046142,70514,740290,736408,600721,89895,2663,43128,3882,9597077,8933234,
1995:Q4,Next40,12093124,5100389,4055343,1045046,6992735,1167262,97355,261602,190634,70969,27378,5668,21710,704849,273266,296212,573554,2848527,594489,148242,2000179,1991660,1494161,433097,10440,53963,8519,10092945,39720450,
1995:Q4,Bottom50,2858586,2024427,1416006,608421,834159,171871,9143,31995,28655,3341,3785,884,2901,73406,75042,16767,135826,183920,62923,69481,1795812,1793446,1075098,632586,6639,79123,2366,1062774,49646267,
