Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1998:Q3,pct60to80,7646794,2820916,2198102,622814,4825878,505124,124670,217457,150071,67387,30541,8893,21648,753703,156142,233867,470888,1836294,418405,78787,1513958,1509746,1057634,400104,6321,45687,4212,6132836,20507439,42569,68211
1998:Q3,pct40to60,4379677,1828249,1382928,445321,2551428,394695,51016,117178,98169,19010,39991,27845,12146,352624,84181,74434,185778,906398,293243,51890,830818,828548,519816,297694,3727,7311,2270,3548859,20510269,26352,42569
1998:Q3,pct20to40,2998865,1296756,1007761,288995,1702109,410327,60106,105456,74291,31166,12336,3681,8656,248289,45439,16318,51903,526640,190873,34421,420828,419603,247904,165154,1630,4916,1224,2578038,20517254,13866,26352
1998:Q3,pct00to20,1387639,682333,543569,138764,705306,183221,22350,56423,38993,17430,16586,15669,918,72778,19251,1971,14699,189390,110720,17916,182989,182472,86430,91626,637,3779,517,1204650,20501383,0,13854
1998:Q4,pct99to100,7807558,1236884,971002,265882,6570675,376857,296495,925384,699431,225954,150121,135534,14587,2894620,57784,18484,293374,188997,1342714,25844,368908,368410,243091,24420,6605,94294,498,7438650,1028589,,
1998:Q4,pct80to99,18470426,5155454,4095899,1059555,13314973,1180490,375543,729733,547175,182558,129267,99430,29837,3776874,340588,379424,1425101,2816141,2026659,135152,2486130,2477605,1864831,436129,17922,158723,8525,15984296,19542972,,
1998:Q4,pct60to80,7929758,2852363,2224834,627529,5077395,523367,125880,208050,150496,57554,31597,10415,21183,891153,163648,240430,552146,1845565,416620,78938,1539456,1535284,1075463,409850,7189,42782,4171,6390302,20566539,,
1998:Q4,pct40to60,4468038,1825031,1384169,440862,2643007,407499,53332,107392,91506,15886,41404,29629,11775,385943,87589,78731,217953,923206,288544,51414,853291,850945,533444,304821,4409,8270,2346,3614747,20569187,,
1998:Q4,pct20to40,3037578,1306874,1009870,297004,1730704,409014,60459,96457,69274,27183,12391,3755,8636,270910,47343,17533,59934,531054,191315,34296,433601,432406,252340,172580,2163,5324,1195,2603976,20576189,,
1998:Q4,pct00to20,1370306,670109,527140,142968,700197,184771,21884,50193,35091,15102,14794,13576,1217,81140,20031,2104,11594,189021,107329,17336,187516,187024,88273,93472,1059,4220,492,1182790,20560144,,
1999:Q1,pct99to100,7724579,1252419,982779,269640,6472160,371178,320138,892291,660534,231758,145016,129513,15503,2823990,60031,18150,306737,187195,1321246,26188,377303,376045,248614,27365,6376,93691,1258,7347276,1031474,,
1999:Q1,pct80to99,18768746,5252335,4179464,1072871,13516411,1168758,405449,746190,541294,204896,130726,99658,31068,3799010,342029,391477,1459641,2897053,2039943,136136,2537464,2528622,1906660,439754,16446,165761,8842,16231282,19599102,,
