Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1993:Q3,pct40to60,11.7,12,13.8,15.4,6.3,15.4,7.2,8.3,12.2,13.9,12.5,20.7,7.3,7.225989836523748
1993:Q3,pct20to40,7.5,7.5,10.1,10.1,3.5,8.3,2.7,3.2,8.2,7.2,5.8,12.4,6,2.6568101116128333
1993:Q3,pct00to20,3.6,3.5,5.4,4.8,1.3,3.2,0.8,3.1,3.2,3.3,2.2,7.6,1.2,0.7575942639559887
1993:Q4,pct99to100,17.6,16,9,11,32.8,2.6,11.7,31.7,20.6,6.3,6,1.7,27.8,11.694557876285222
1993:Q4,pct80to99,42.5,42.8,40.9,36.1,45.2,45.7,57.8,41.7,40.2,44.4,48,31.9,46,57.813097004066314
1993:Q4,pct60to80,17.3,18.3,20.8,22.7,11.1,24.6,19.4,11.9,15.7,24.7,25.3,26,11.8,19.37183405186602
1993:Q4,pct40to60,11.6,11.9,13.8,15.3,6.1,15.5,7.4,8.1,12.1,13.9,12.4,20.7,6.8,7.446611493364622
1993:Q4,pct20to40,7.5,7.5,10.1,10.1,3.5,8.4,2.8,3.3,8.2,7.4,6,12.5,6.4,2.809445377261963
1993:Q4,pct00to20,3.6,3.6,5.4,4.9,1.2,3.2,0.9,3.3,3.2,3.3,2.2,7.3,1.1,0.8644541971558534
1994:Q1,pct99to100,17.7,16.1,9.3,11.4,31.8,2.5,11.7,31.8,21.4,6.2,6,1.6,27.2,11.6528785943915
1994:Q1,pct80to99,42.6,42.8,41.4,35.7,45.7,46,57.7,41.7,39.7,44.4,47.7,32.7,45.6,57.714964883582866
1994:Q1,pct60to80,17.2,18.2,20.7,22.7,11.2,24.3,19.1,11.7,15.7,24.8,25.5,25.5,12,19.0628666540165
1994:Q1,pct40to60,11.5,11.8,13.5,14.9,6.3,15.6,7.6,7.8,11.9,13.9,12.5,20.4,6.9,7.634335320141772
1994:Q1,pct20to40,7.5,7.5,9.9,10.2,3.7,8.5,3,3.3,8.2,7.4,6.1,12,7,2.9576375995514272
