Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
2002:Q1,Millennial,0.1,0.1,0.1,0.4,0,0,0,0,0.1,0.3,0.2,0.6,0,0.021345715146858242
2002:Q2,Silent,51,46.1,40.8,35.6,55.7,44.6,29.2,49.5,57.1,18.9,17.7,16.1,54.3,29.216345960861155
2002:Q2,BabyBoom,43,45,46.1,46.3,38.9,51.4,64.2,44.7,34.9,56.1,58.8,50.4,43,64.15639481379836
2002:Q2,GenX,5.9,8.8,13,17.7,5.4,4,6.6,5.8,7.9,24.7,23.3,32.8,2.7,6.624404762789701
2002:Q2,Millennial,0.1,0.1,0.2,0.5,0,0,0,0,0.1,0.4,0.2,0.7,0.1,0.002854462550789363
2002:Q3,Silent,51.2,45.9,40.1,35.7,58.3,44.6,29.7,48.7,57,18.3,17.1,16.2,52,29.735289369056904
2002:Q3,BabyBoom,43.4,45.4,46.7,46.1,38.8,51.4,66.1,45.2,34.9,56.1,58.8,49.7,45.3,66.12401191014517
2002:Q3,GenX,5.4,8.5,13,17.7,2.9,4,4.1,6.1,7.9,25.2,23.8,33.3,2.6,4.1406987207979205
2002:Q3,Millennial,0.1,0.1,0.2,0.5,0,0,0,0.1,0.1,0.4,0.3,0.8,0.1,0
2002:Q4,Silent,50.9,45.6,39.6,35.7,57,44.5,28.5,48.7,57.2,17.9,16.7,16.3,50.7,28.5222506719362
2002:Q4,BabyBoom,43.7,45.7,47.1,46,39.7,51.4,66.3,45.9,34.6,55.9,58.7,49,46.8,66.30275694431423
2002:Q4,GenX,5.3,8.6,13.1,17.6,3.3,4.1,5.2,5.3,8,25.8,24.4,33.7,2.4,5.17499238374958
2002:Q4,Millennial,0.1,0.1,0.2,0.6,0,0,0,0.1,0.2,0.4,0.3,1,0.1,0
2003:Q1,Silent,50.5,45.1,39.2,35.4,57.5,44.6,27.9,47.5,56.6,17.6,16.2,16.3,50.3,27.92475906744768
2003:Q1,BabyBoom,43.9,45.8,46.8,46,40.2,51.4,67,46.4,35,55.8,58.7,48.4,46.8,66.97396774376733
2003:Q1,GenX,5.5,8.9,13.8,17.9,2.3,4,5.1,6,8.2,26.2,24.8,34.2,2.8,5.1012731887849965
2003:Q1,Millennial,0.1,0.2,0.3,0.7,0,0,0,0.1,0.2,0.5,0.3,1.1,0.1,0
2003:Q2,Silent,49.8,44.5,38.7,35.2,54.7,44.6,26.4,46.6,56.4,17.8,15.8,16.4,54.5,26.371748919931036
2003:Q2,BabyBoom,44.2,46,46.9,46,41.2,51.4,66.2,46.9,35.1,55,58.2,47.8,41.7,66.23577286545586
2003:Q2,GenX,5.9,9.3,14.1,18,4.1,4,7.4,6.3,8.3,26.7,25.7,34.6,3.7,7.3789564426085805
2003:Q2,Millennial,0.1,0.2,0.3,0.8,0,0,0,0.1,0.2,0.5,0.3,1.3,0.1,0.013521772004523243
2003:Q3,Silent,49.4,44.1,38.2,35.4,53.4,44.6,25.6,45.8,56.4,17.3,15.4,16.5,52.3,25.639154197379355
2003:Q3,BabyBoom,44.7,46.3,47.3,45.8,42,51.4,66.6,47.4,35.1,54.4,57.2,47.2,44.2,66.55329878485021
2003:Q3,GenX,5.8,9.4,14.2,17.9,4.6,4,7.8,6.7,8.3,27.7,26.9,35,3.5,7.786013200148531
2003:Q3,Millennial,0.1,0.2,0.3,0.9,0,0,0,0.2,0.2,0.7,0.5,1.4,0.1,0.021533817621904275
2003:Q4,Silent,48.7,43.5,37.7,35.3,51.4,44.6,24.4,44.8,56.4,16.8,15,16.5,48.2,24.36092867735901
2003:Q4,BabyBoom,44.9,46.5,47.6,45.7,42.8,51.4,66,47.8,35,54.4,57.2,46.5,47.8,65.95256383528755
2003:Q4,GenX,6.2,9.8,14.4,18,5.8,4,9.6,7.2,8.3,28.1,27.3,35.4,3.9,9.62467061720154
2003:Q4,Millennial,0.1,0.2,0.3,1,0,0,0.1,0.2,0.2,0.7,0.4,1.6,0.1,0.06183687015189989
2004:Q1,Silent,47.9,42.9,37.2,35.1,50.3,44.2,23.7,43.6,55.5,16.5,14.7,16.5,47.9,23.679981189427846
2004:Q1,BabyBoom,45.2,46.7,47.5,45.6,43.4,51.6,66.3,48,36.1,54.2,57,46.1,48.1,66.29415180398475
2004:Q1,GenX,6.7,10.1,15,18.2,6.3,4.2,10,8.1,8.1,28.5,27.8,35.7,4,9.951523752669626
2004:Q1,Millennial,0.2,0.3,0.4,1.1,0,0,0.1,0.3,0.2,0.7,0.5,1.7,0.1,0.07434325391777834
2004:Q2,Silent,47.4,42.4,36.5,35.3,50,43.8,23.2,42.1,55.6,16.3,14.4,16.5,47.9,23.150770665110844
2004:Q2,BabyBoom,45.8,47,48,45.4,44.1,51.7,66.7,48.2,35.9,53.6,56.2,45.6,47.8,66.70510707196995
2004:Q2,GenX,6.7,10.3,15.1,18.1,5.9,4.5,10.1,9.4,8.2,29.3,28.8,36.1,4.2,10.061373804822377
2004:Q2,Millennial,0.2,0.3,0.4,1.2,0,0,0.1,0.3,0.3,0.9,0.6,1.8,0.1,0.08274845809682935
2004:Q3,Silent,46.9,41.9,36.1,34.9,49.5,43.3,22.6,40.6,55.7,15.9,14.1,16.6,46.6,22.63903269285446
2004:Q3,BabyBoom,45.9,47.1,47.7,45.4,44.8,51.9,67.3,48.2,35.9,53.4,56,45,49.4,67.29322067943613
2004:Q3,GenX,7,10.7,15.8,18.3,5.7,4.7,10,10.7,8.1,29.8,29.3,36.4,4,9.980825419128585
2004:Q3,Millennial,0.2,0.3,0.4,1.3,0,0,0.1,0.4,0.3,0.9,0.7,2,0,0.08692120858081902
2004:Q4,Silent,45.8,41,35.5,34.5,48.7,41.9,21.7,40.4,54.2,15.9,14,16.4,49.2,21.743020237353377
2004:Q4,BabyBoom,46.3,47.3,47.6,45.2,44.8,52.5,66.6,48.2,37.1,52.6,55.1,44.8,46.5,66.6327717329805
2004:Q4,GenX,7.7,11.3,16.4,18.8,6.4,5.6,11.5,10.9,8.4,30.4,30.2,36.4,4.3,11.489727508674942
2004:Q4,Millennial,0.2,0.4,0.4,1.4,0,0,0.1,0.5,0.3,1.1,0.8,2.4,0,0.13448052099118063
2005:Q1,Silent,45.3,40.5,35,33.9,49,40.8,21.5,40.1,53.5,15.6,13.7,16,49.1,21.521005247074427
2005:Q1,BabyBoom,46.3,47.4,47.3,45.1,44.9,53,67.3,48.3,37.5,53,55.5,44.8,46.7,67.25220353170731
2005:Q1,GenX,8.1,11.7,17.2,19.4,6,6.2,11.1,11.1,8.7,30.4,30.1,36.6,4.1,11.113637195696576
2005:Q1,Millennial,0.3,0.4,0.5,1.6,0.1,0,0.1,0.6,0.4,1,0.6,2.6,0,0.11315402552169046
2005:Q2,Silent,44.6,39.9,34.7,33,48.8,39.6,21,39.7,52.7,15.4,13.6,15.7,49.1,21.006646261497096
2005:Q2,BabyBoom,46.4,47.4,46.6,44.9,45,53.5,67.3,48.2,38.2,52.5,54.8,44.7,46.5,67.32160112827037
2005:Q2,GenX,8.6,12.3,18.2,20.3,6.1,6.8,11.5,11.4,8.8,31,30.9,36.6,4.3,11.547777939305913
2005:Q2,Millennial,0.3,0.5,0.6,1.8,0.1,0.1,0.1,0.7,0.4,1.1,0.6,2.9,0,0.12397467092662405
2005:Q3,Silent,43.8,39.2,34.1,32.7,48.3,38.5,20.5,39.1,51.7,15.3,13.5,15.5,49.4,20.515240720246585
2005:Q3,BabyBoom,46.7,47.6,46.5,44.8,45.1,54,67.2,48.1,38.7,51.9,54.2,44.5,46.2,67.19420528923827
2005:Q3,GenX,9.1,12.8,18.7,20.6,6.5,7.4,12.1,12.1,9.1,31.6,31.6,36.6,4.4,12.149351942356962
2005:Q3,Millennial,0.4,0.5,0.6,1.9,0.1,0.1,0.1,0.7,0.4,1.2,0.7,3.3,0.1,0.14120204815819698
